version,label,config,net_reward,delivered,total_orders,missed,late,on_time,on_time_rate,reward_per_delivered,runtime_sec
baseline,Baseline,TOTAL,2435.9068,121,320,199,20,101,83.47,20.13,7.6510
baseline,Baseline,C1,266.6718,13,15,2,0,13,100.00,20.51,0.0403
baseline,Baseline,C2,302.9519,17,25,8,1,16,94.12,17.82,0.2329
baseline,Baseline,C3,392.1792,11,40,29,0,11,100.00,35.65,1.7306
baseline,Baseline,C4,485.2523,30,60,30,9,21,70.00,16.18,2.7372
baseline,Baseline,C5,446.2436,24,80,56,4,20,83.33,18.59,0.7225
baseline,Baseline,C6,542.6080,26,100,74,6,20,76.92,20.87,2.1875
archive2,Archive2,TOTAL,5191.1241,293,320,27,51,242,82.59,17.72,29.8607
archive2,Archive2,C1,265.8213,13,15,2,0,13,100.00,20.45,0.1508
archive2,Archive2,C2,442.5442,24,25,1,2,22,91.67,18.44,0.7491
archive2,Archive2,C3,783.4115,36,40,4,6,30,83.33,21.76,1.3300
archive2,Archive2,C4,968.1267,56,60,4,7,49,87.50,17.29,3.8803
archive2,Archive2,C5,1294.1284,75,80,5,15,60,80.00,17.26,10.7837
archive2,Archive2,C6,1437.0920,89,100,11,21,68,76.40,16.15,12.9668
archive3,Archive3,TOTAL,5062.9512,293,320,27,58,235,80.20,17.28,16.2023
archive3,Archive3,C1,265.8213,13,15,2,0,13,100.00,20.45,0.0863
archive3,Archive3,C2,425.7349,24,25,1,3,21,87.50,17.74,0.4154
archive3,Archive3,C3,754.9534,37,40,3,7,30,81.08,20.40,0.8122
archive3,Archive3,C4,987.3766,56,60,4,7,49,87.50,17.63,1.8847
archive3,Archive3,C5,1251.4488,74,80,6,17,57,77.03,16.91,7.0181
archive3,Archive3,C6,1377.6162,89,100,11,24,65,73.03,15.48,5.9856
archive4,Archive4,TOTAL,5062.9512,293,320,27,58,235,80.20,17.28,17.0247
archive4,Archive4,C1,265.8213,13,15,2,0,13,100.00,20.45,0.1009
archive4,Archive4,C2,425.7349,24,25,1,3,21,87.50,17.74,0.6085
archive4,Archive4,C3,754.9534,37,40,3,7,30,81.08,20.40,0.8612
archive4,Archive4,C4,987.3766,56,60,4,7,49,87.50,17.63,2.2277
archive4,Archive4,C5,1251.4488,74,80,6,17,57,77.03,16.91,5.9772
archive4,Archive4,C6,1377.6162,89,100,11,24,65,73.03,15.48,7.2492
final,Final,TOTAL,5062.9512,293,320,27,58,235,80.20,17.28,16.2031
final,Final,C1,265.8213,13,15,2,0,13,100.00,20.45,0.0741
final,Final,C2,425.7349,24,25,1,3,21,87.50,17.74,0.6042
final,Final,C3,754.9534,37,40,3,7,30,81.08,20.40,0.8422
final,Final,C4,987.3766,56,60,4,7,49,87.50,17.63,1.8827
final,Final,C5,1251.4488,74,80,6,17,57,77.03,16.91,6.3771
final,Final,C6,1377.6162,89,100,11,24,65,73.03,15.48,6.4228
