version,label,config,net_reward,delivered,total_orders,missed,late,on_time,on_time_rate,reward_per_delivered,runtime_sec
baseline,Baseline,TOTAL,1447.9847,70,320,250,12,58,82.86,20.69,1.0748
baseline,Baseline,C1,200.3523,9,15,6,1,8,88.89,22.26,0.0313
baseline,Baseline,C2,424.5923,24,25,1,4,20,83.33,17.69,0.0480
baseline,Baseline,C3,299.9857,8,40,32,0,8,100.00,37.50,0.0914
baseline,Baseline,C4,204.7737,10,60,50,1,9,90.00,20.48,0.2116
baseline,Baseline,C5,137.3536,9,80,71,2,7,77.78,15.26,0.2881
baseline,Baseline,C6,180.9271,10,100,90,4,6,60.00,18.09,0.4044
archive2,Archive2,TOTAL,5502.8217,296,320,24,51,245,82.77,18.59,20.9364
archive2,Archive2,C1,260.9554,13,15,2,0,13,100.00,20.07,0.0738
archive2,Archive2,C2,431.2233,24,25,1,4,20,83.33,17.97,0.1943
archive2,Archive2,C3,852.9824,37,40,3,5,32,86.49,23.05,0.7177
archive2,Archive2,C4,1023.8693,56,60,4,5,51,91.07,18.28,3.2966
archive2,Archive2,C5,1341.5404,75,80,5,18,57,76.00,17.89,6.5675
archive2,Archive2,C6,1592.2509,91,100,9,19,72,79.12,17.50,10.0865
archive3,Archive3,TOTAL,5475.8494,295,320,25,49,246,83.39,18.56,11.1313
archive3,Archive3,C1,260.9554,13,15,2,0,13,100.00,20.07,0.0633
archive3,Archive3,C2,431.2233,24,25,1,4,20,83.33,17.97,0.1418
archive3,Archive3,C3,829.8836,36,40,4,3,33,91.67,23.05,0.6107
archive3,Archive3,C4,1023.8693,56,60,4,5,51,91.07,18.28,1.3685
archive3,Archive3,C5,1341.2348,75,80,5,18,57,76.00,17.88,4.1218
archive3,Archive3,C6,1588.6830,91,100,9,19,72,79.12,17.46,4.8252
archive4,Archive4,TOTAL,5475.8494,295,320,25,49,246,83.39,18.56,9.6478
archive4,Archive4,C1,260.9554,13,15,2,0,13,100.00,20.07,0.0663
archive4,Archive4,C2,431.2233,24,25,1,4,20,83.33,17.97,0.1381
archive4,Archive4,C3,829.8836,36,40,4,3,33,91.67,23.05,0.4300
archive4,Archive4,C4,1023.8693,56,60,4,5,51,91.07,18.28,0.9606
archive4,Archive4,C5,1341.2348,75,80,5,18,57,76.00,17.88,3.1584
archive4,Archive4,C6,1588.6830,91,100,9,19,72,79.12,17.46,4.8944
final,Final,TOTAL,5475.8494,295,320,25,49,246,83.39,18.56,10.5069
final,Final,C1,260.9554,13,15,2,0,13,100.00,20.07,0.0532
final,Final,C2,431.2233,24,25,1,4,20,83.33,17.97,0.1222
final,Final,C3,829.8836,36,40,4,3,33,91.67,23.05,0.4153
final,Final,C4,1023.8693,56,60,4,5,51,91.07,18.28,0.8443
final,Final,C5,1341.2348,75,80,5,18,57,76.00,17.88,4.1885
final,Final,C6,1588.6830,91,100,9,19,72,79.12,17.46,4.8834
