version,label,config,net_reward,delivered,total_orders,missed,late,on_time,on_time_rate,reward_per_delivered,runtime_sec
baseline,Baseline,TOTAL,5019.6602,288,320,32,60,228,79.17,17.43,21.9715
baseline,Baseline,C1,261.0137,13,15,2,0,13,100.00,20.08,0.0601
baseline,Baseline,C2,409.8282,22,25,3,4,18,81.82,18.63,0.3022
baseline,Baseline,C3,833.1851,36,40,4,4,32,88.89,23.14,1.0016
baseline,Baseline,C4,956.9707,54,60,6,5,49,90.74,17.72,3.8531
baseline,Baseline,C5,1109.6297,74,80,6,22,52,70.27,14.99,7.7361
baseline,Baseline,C6,1449.0328,89,100,11,25,64,71.91,16.28,9.0184
archive2,Archive2,TOTAL,5380.1082,291,320,29,49,242,83.16,18.49,30.0818
archive2,Archive2,C1,260.9554,13,15,2,0,13,100.00,20.07,0.0650
archive2,Archive2,C2,425.5052,23,25,2,3,20,86.96,18.50,0.1909
archive2,Archive2,C3,897.1996,37,40,3,2,35,94.59,24.25,0.8079
archive2,Archive2,C4,977.2364,55,60,5,5,50,90.91,17.77,1.8042
archive2,Archive2,C5,1226.9607,72,80,8,20,52,72.22,17.04,16.1194
archive2,Archive2,C6,1592.2509,91,100,9,19,72,79.12,17.50,11.0944
archive3,Archive3,TOTAL,5380.1082,291,320,29,49,242,83.16,18.49,27.7255
archive3,Archive3,C1,260.9554,13,15,2,0,13,100.00,20.07,0.0711
archive3,Archive3,C2,425.5052,23,25,2,3,20,86.96,18.50,0.1962
archive3,Archive3,C3,897.1996,37,40,3,2,35,94.59,24.25,0.8579
archive3,Archive3,C4,977.2364,55,60,5,5,50,90.91,17.77,1.9005
archive3,Archive3,C5,1226.9607,72,80,8,20,52,72.22,17.04,13.4808
archive3,Archive3,C6,1592.2509,91,100,9,19,72,79.12,17.50,11.2190
archive4,Archive4,TOTAL,5380.1082,291,320,29,49,242,83.16,18.49,30.9635
archive4,Archive4,C1,260.9554,13,15,2,0,13,100.00,20.07,0.0700
archive4,Archive4,C2,425.5052,23,25,2,3,20,86.96,18.50,0.2063
archive4,Archive4,C3,897.1996,37,40,3,2,35,94.59,24.25,1.0583
archive4,Archive4,C4,977.2364,55,60,5,5,50,90.91,17.77,3.1595
archive4,Archive4,C5,1226.9607,72,80,8,20,52,72.22,17.04,14.3942
archive4,Archive4,C6,1592.2509,91,100,9,19,72,79.12,17.50,12.0752
final,Final,TOTAL,5708.3702,295,320,25,35,260,88.14,19.35,23.0069
final,Final,C1,260.9554,13,15,2,0,13,100.00,20.07,0.0837
final,Final,C2,465.4753,24,25,1,2,22,91.67,19.39,0.2707
final,Final,C3,914.6039,37,40,3,3,34,91.89,24.72,0.6822
final,Final,C4,1023.8693,56,60,4,5,51,91.07,18.28,4.2046
final,Final,C5,1372.2759,74,80,6,12,62,83.78,18.54,7.9761
final,Final,C6,1671.1904,91,100,9,13,78,85.71,18.36,9.7896
