version,label,config,net_reward,delivered,total_orders,missed,late,on_time,on_time_rate,reward_per_delivered,runtime_sec
baseline,Baseline,TOTAL,4914.0649,290,320,30,60,230,79.31,16.95,219.4114
baseline,Baseline,C1,266.4638,13,15,2,0,13,100.00,20.50,5.2409
baseline,Baseline,C2,461.0828,24,25,1,1,23,95.83,19.21,10.0573
baseline,Baseline,C3,829.3821,37,40,3,4,33,89.19,22.42,24.9063
baseline,Baseline,C4,933.7163,53,60,7,8,45,84.91,17.62,45.5057
baseline,Baseline,C5,1159.2000,75,80,5,22,53,70.67,15.46,56.2265
baseline,Baseline,C6,1264.2199,88,100,12,25,63,71.59,14.37,77.4747
archive3,Archive3,TOTAL,4951.6154,290,320,30,60,230,79.31,17.07,79.3426
archive3,Archive3,C1,266.4638,13,15,2,0,13,100.00,20.50,1.8462
archive3,Archive3,C2,460.2902,24,25,1,1,23,95.83,19.18,3.4626
archive3,Archive3,C3,880.5794,37,40,3,3,34,91.89,23.80,7.0158
archive3,Archive3,C4,933.7163,53,60,7,8,45,84.91,17.62,15.5581
archive3,Archive3,C5,1091.1956,74,80,6,26,48,64.86,14.75,22.3057
archive3,Archive3,C6,1319.3701,89,100,11,22,67,75.28,14.82,29.1542
fastpath_retry,FastpathRetry,TOTAL,4831.8036,292,320,28,66,226,77.40,16.55,224.0554
fastpath_retry,FastpathRetry,C1,266.4638,13,15,2,0,13,100.00,20.50,5.2369
fastpath_retry,FastpathRetry,C2,461.0828,24,25,1,1,23,95.83,19.21,10.0467
fastpath_retry,FastpathRetry,C3,829.3821,37,40,3,4,33,89.19,22.42,25.3265
fastpath_retry,FastpathRetry,C4,933.7163,53,60,7,8,45,84.91,17.62,46.6835
fastpath_retry,FastpathRetry,C5,1120.5481,75,80,5,24,51,68.00,14.94,61.1560
fastpath_retry,FastpathRetry,C6,1220.6105,90,100,10,29,61,67.78,13.56,75.6058
final,Final,TOTAL,5794.9862,296,320,24,22,274,92.57,19.58,1.7515
final,Final,C1,264.3505,13,15,2,0,13,100.00,20.33,0.0282
final,Final,C2,465.9499,24,25,1,1,23,95.83,19.41,0.0673
final,Final,C3,888.1425,37,40,3,2,35,94.59,24.00,0.1356
final,Final,C4,1046.4896,56,60,4,3,53,94.64,18.69,0.2525
final,Final,C5,1439.3297,75,80,5,9,66,88.00,19.19,0.4628
final,Final,C6,1690.7240,91,100,9,7,84,92.31,18.58,0.8051
